Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;-94.90742598924068;-21394.48623410353;21394.696741032654;-94.90742598924068;-21394.48623410353;-90.25416638777644
10209.515903;-29.060154217919706;-20955.351315567306;20955.371465364475;-29.060154217919706;-20955.351315567306;-90.07945574837986
10423.421498;-14.604472474363302;-20515.49000524636;20515.49520352798;-14.604472474363302;-20515.49000524636;-90.0407874485685
10641.808756;0.5925287785465527;-20043.431144880502;20043.431153638743;0.5925287785465527;-20043.431144880502;-89.9983062082537
10864.771573;28.850894175793293;-19669.012045309344;19669.033204827807;28.850894175793293;-19669.012045309344;-89.91595748265796
11092.405816;83.01332434323524;-19219.666506469734;19219.845780649048;83.01332434323524;-19219.666506469734;-89.75253038079421
11324.809359;58.78036997599693;-18846.517346781035;18846.60901155465;58.78036997599693;-18846.517346781035;-89.8213008729625
11562.082126;106.45540262854574;-18433.672930798188;18433.98032092881;106.45540262854574;-18433.672930798188;-89.66911762548538
11804.326134;100.7287186103376;-18034.91592118607;18035.197214308573;100.7287186103376;-18034.91592118607;-89.67999460229404
12051.645539;160.58501341691164;-17637.27726098059;17638.008298196175;160.58501341691164;-17637.27726098059;-89.47834412575075
12304.14668;119.95185498244717;-17301.4027472598;17301.818559631316;119.95185498244717;-17301.4027472598;-89.60277065273306
12561.938121;118.90367384482172;-16934.108269729964;16934.525708580994;118.90367384482172;-16934.108269729964;-89.59770147829458
12825.130702;144.8304386223015;-16556.469573538976;16557.103025453256;144.8304386223015;-16556.469573538976;-89.49880853598019
13093.837587;150.79917834901607;-16162.94881414558;16163.652271713865;150.79917834901607;-16162.94881414558;-89.46544990742227
13368.174308;160.41887167267976;-15848.349997098958;15849.161865692937;160.41887167267976;-15848.349997098958;-89.42006515403465
13648.25882;188.6786718716284;-15486.771505408844;15487.920819204965;188.6786718716284;-15486.771505408844;-89.30198771535481
13934.211547;182.7383158773083;-15184.995576456902;15186.095085607272;182.7383158773083;-15184.995576456902;-89.3105280264034
14226.15544;176.45243962937124;-14834.35761221438;14835.40701263413;176.45243962937124;-14834.35761221438;-89.31850751015915
14524.216021;204.89903286998415;-14551.725095857339;14553.16758919086;204.89903286998415;-14551.725095857339;-89.19328643517956
14828.521445;193.7123951040169;-14211.438172916207;14212.758333083582;193.7123951040169;-14211.438172916207;-89.21906458450088
15139.202552;170.63853171091932;-13891.82960151504;13892.877570396784;170.63853171091932;-13891.82960151504;-89.29624993259341
15456.392922;200.93789076356458;-13605.299714778328;13606.78346872955;200.93789076356458;-13605.299714778328;-89.15385501615164
15780.228934;234.7261185556873;-13323.790840742033;13325.858273243548;234.7261185556873;-13323.790840742033;-88.99072080724467
16110.849827;232.54046826069913;-13034.243166144905;13036.317347455684;232.54046826069913;-13034.243166144905;-88.97790965679994
16448.397752;206.26530137504193;-12756.08984810956;12757.757388647704;206.26530137504193;-12756.08984810956;-89.07361099575432
16793.017844;247.10317886588174;-12466.284371724803;12468.733136037345;247.10317886588174;-12466.284371724803;-88.86444789452435
17144.858275;251.69521502280796;-12192.692482384911;12195.290092952724;251.69521502280796;-12192.692482384911;-88.8174043074485
17504.070322;263.0917120145395;-11948.957326975964;11951.85334794664;263.0917120145395;-11948.957326975964;-88.73866739163152
17870.808433;258.7805759423071;-11679.472202581468;11682.33873491769;258.7805759423071;-11679.472202581468;-88.73071240307738
18245.23029;290.7826819898453;-11449.409035036746;11453.100969594492;290.7826819898453;-11449.409035036746;-88.54516161993241
18627.496881;316.7130141298359;-11191.247033497944;11195.727635937548;316.7130141298359;-11191.247033497944;-88.37895840607754
19017.772565;309.02213590471234;-10939.02443791963;10943.388430183863;309.02213590471234;-10939.02443791963;-88.381852366818
19416.225145;330.0184088298523;-10696.66406109541;10701.753790201712;330.0184088298523;-10696.66406109541;-88.23284476851218
19823.02594;337.016853571879;-10459.492822325994;10464.920948572926;337.016853571879;-10459.492822325994;-88.15450276765964
20238.349859;355.1247098043612;-10223.101688157325;10229.26789589161;355.1247098043612;-10223.101688157325;-88.01048944174596
20662.375475;344.3457270050283;-9999.152594417583;10005.08003896793;344.3457270050283;-9999.152594417583;-88.02765655913876
21095.285101;364.64895309981426;-9776.064571179888;9782.8629428647;364.64895309981426;-9776.064571179888;-87.86384751079156
21537.264873;377.52134441982116;-9542.83500056412;9550.299587629917;377.52134441982116;-9542.83500056412;-87.73451955456537
21988.504824;393.16904729900625;-9325.085642835891;9333.370460127364;393.16904729900625;-9325.085642835891;-87.58569587562174
22449.198969;393.276150073199;-9127.350985067475;9135.819729768567;393.276150073199;-9127.350985067475;-87.53278529823065
22919.54539;383.30654985384433;-8907.172784737042;8915.416475315165;383.30654985384433;-8907.172784737042;-87.53588414171223
23399.746316;404.6605602352764;-8696.884392876189;8706.293603598686;404.6605602352764;-8696.884392876189;-87.33598482640627
23890.008215;417.8457960090158;-8502.17212465959;8512.43360893822;417.8457960090158;-8502.17212465959;-87.18641855982723
24390.541881;428.09558260134844;-8306.101318887215;8317.126002860767;428.09558260134844;-8306.101318887215;-87.04959219096254
24901.562522;439.2515673841853;-8111.572852787589;8123.457151085986;439.2515673841853;-8111.572852787589;-86.90039098157018
25423.289859;440.46377486566035;-7916.206398681569;7928.450799714654;440.46377486566035;-7916.206398681569;-86.81530282002257
25955.948214;469.82815170477545;-7730.53240025194;7744.796297093897;469.82815170477545;-7730.53240025194;-86.52208949433188
26499.766608;479.40234610578824;-7534.10874376952;7549.345744658676;479.40234610578824;-7534.10874376952;-86.35912481084516
27054.978862;497.1928934678661;-7372.937101808328;7389.682150169704;497.1928934678661;-7372.937101808328;-86.14210860480561
