Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;19.162120536690562;-21352.359714709582;21352.368312981493;19.162120536690562;-21352.359714709582;-89.94858140490317
10209.515903;15.46468614161751;-20824.100907905377;20824.10665020574;15.46468614161751;-20824.100907905377;-89.95745021173117
10423.421498;36.039767095860576;-20378.995107307048;20379.026975016666;36.039767095860576;-20378.995107307048;-89.89867388525946
10641.808756;49.35877035740543;-20026.938577171128;20026.999402356716;49.35877035740543;-20026.938577171128;-89.85878802761717
10864.771573;94.03923045612447;-19538.081713672527;19538.30802364958;94.03923045612447;-19538.081713672527;-89.7242303780641
11092.405816;71.46073375177927;-19193.756854649368;19193.889882769152;71.46073375177927;-19193.756854649368;-89.78668170292696
11324.809359;79.6877601143035;-18739.82501407923;18739.994442299645;79.6877601143035;-18739.82501407923;-89.75636139555866
11562.082126;124.44986871436194;-18347.848311438924;18348.27036615155;124.44986871436194;-18347.848311438924;-89.61137988654716
11804.326134;145.52485495843084;-17919.254061176303;17919.844965635002;145.52485495843084;-17919.254061176303;-89.53470291354247
12051.645539;143.54247296191622;-17543.186924259877;17543.774163533533;143.54247296191622;-17543.186924259877;-89.53120294581562
12304.14668;138.90722211603892;-17206.927991200566;17207.488663681215;138.90722211603892;-17206.927991200566;-89.53747556261968
12561.938121;185.8901571163705;-16833.279865665707;16834.30622824532;185.8901571163705;-16833.279865665707;-89.36730758193795
12825.130702;175.78481190465237;-16462.99408476244;16463.932535546282;175.78481190465237;-16462.99408476244;-89.38824341198948
13093.837587;187.35492319645923;-16089.534016646168;16090.624808877377;187.35492319645923;-16089.534016646168;-89.3328482222774
13368.174308;193.07334113321602;-15743.020966637117;15744.2048535654;193.07334113321602;-15743.020966637117;-89.2973563942269
13648.25882;247.06949304979037;-15418.360205506808;15420.339644805228;247.06949304979037;-15418.360205506808;-89.08194986161347
13934.211547;221.24996682042928;-15086.076120135865;15087.698441125856;221.24996682042928;-15086.076120135865;-89.15976954712839
14226.15544;215.56706944345672;-14761.505145444535;14763.079059614018;215.56706944345672;-14761.505145444535;-89.16335053327917
14524.216021;250.5437928332653;-14422.074711797857;14424.25080150808;250.5437928332653;-14422.074711797857;-89.00474388309274
14828.521445;243.9005025328136;-14118.075555616442;14120.182181871105;243.9005025328136;-14118.075555616442;-89.01027024722106
15139.202552;265.78244990883513;-13813.066742705218;13815.623516479756;265.78244990883513;-13813.066742705218;-88.8976862247658
15456.392922;256.274208891388;-13523.647410733893;13526.075401238617;256.274208891388;-13523.647410733893;-88.91437029771619
15780.228934;273.9117939619768;-13212.703110667397;13215.54203056051;273.9117939619768;-13212.703110667397;-88.81237458210282
16110.849827;287.57422763191624;-12940.906188865869;12944.101047404762;287.57422763191624;-12940.906188865869;-88.726976465029
16448.397752;294.01566008164684;-12649.790081917961;12653.206483929804;294.01566008164684;-12649.790081917961;-88.66852937539875
16793.017844;319.2542167309186;-12364.50497802101;12368.625898069955;319.2542167309186;-12364.50497802101;-88.52093909998031
17144.858275;303.4072359869228;-12090.908847913624;12094.71507392403;303.4072359869228;-12090.908847913624;-88.56253100589188
17504.070322;349.09772020243605;-11819.666366388117;11824.820600371788;349.09772020243605;-11819.666366388117;-88.30824218500584
17870.808433;329.28501489498234;-11546.712975178056;11551.40723687723;329.28501489498234;-11546.712975178056;-88.3665022525246
18245.23029;366.0930764481503;-11320.996142622396;11326.913869271473;366.0930764481503;-11320.996142622396;-88.14784132008393
18627.496881;377.69715628845717;-11063.09329501227;11069.53876166545;377.69715628845717;-11063.09329501227;-88.0446652174414
19017.772565;370.97804858904567;-10809.525173340464;10815.889199950972;370.97804858904567;-10809.525173340464;-88.0344060535285
19416.225145;398.43835225960703;-10565.000106123081;10572.510598856454;398.43835225960703;-10565.000106123081;-87.84022508045699
19823.02594;414.87226315162735;-10329.51890000774;10337.846956709587;414.87226315162735;-10329.51890000774;-87.7000225541137
20238.349859;411.81050567129756;-10102.36698886279;10110.756978102376;411.81050567129756;-10102.36698886279;-87.66570073882619
20662.375475;436.4486193547543;-9861.600277603948;9871.253589720756;436.4486193547543;-9861.600277603948;-87.46589241732521
21095.285101;437.3735991587917;-9622.569256251698;9632.504075088755;437.3735991587917;-9622.569256251698;-87.3975323500749
21537.264873;466.0285225349849;-9408.113864569752;9419.649094978313;466.0285225349849;-9408.113864569752;-87.16418605220753
21988.504824;461.88625050817546;-9189.394917759859;9200.995482172526;461.88625050817546;-9189.394917759859;-87.1225656640273
22449.198969;493.4529784478973;-8974.701864326205;8988.25730581181;493.4529784478973;-8974.701864326205;-86.85289443146067
22919.54539;479.184062355264;-8755.755714002247;8768.858277386988;479.184062355264;-8755.755714002247;-86.86744769208157
23399.746316;487.4783732941827;-8542.317691871305;8556.215677113747;487.4783732941827;-8542.317691871305;-86.733884827805
23890.008215;505.7634949765247;-8343.798225181723;8359.11272417094;505.7634949765247;-8343.798225181723;-86.53123192662322
24390.541881;525.211244549806;-8146.016451131861;8162.930287189306;525.211244549806;-8146.016451131861;-86.31098294888818
24901.562522;533.8380428802636;-7942.99700452544;7960.916057208891;533.8380428802636;-7942.99700452544;-86.15501077804845
25423.289859;555.5837715427614;-7749.836882569679;7769.726187816337;555.5837715427614;-7749.836882569679;-85.89949574270395
25955.948214;574.6972214557431;-7560.169555545085;7581.981311302457;574.6972214557431;-7560.169555545085;-85.65293876639444
26499.766608;586.5324849036975;-7369.621135619856;7392.924728307613;586.5324849036975;-7369.621135619856;-85.4495423747402
27054.978862;599.894513943053;-7180.542584426302;7205.557940549678;599.894513943053;-7180.542584426302;-85.22434558498642
