Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;-158.03312370390967;-21506.886366901814;21507.466974681483;-158.03312370390967;-21506.886366901814;-90.42100320328534
10209.515903;-153.23565259104768;-21056.90408332107;21057.461640459154;-153.23565259104768;-21056.90408332107;-90.41694643945856
10423.421498;-95.23430344621123;-20623.92140953445;20624.14128828656;-95.23430344621123;-20623.92140953445;-90.2645706779853
10641.808756;-113.14242612046351;-20199.777597398617;20200.09446000081;-113.14242612046351;-20199.777597398617;-90.32092015259187
10864.771573;-79.54895464370269;-19806.672580122173;19806.83232453762;-79.54895464370269;-19806.672580122173;-90.2301141113448
11092.405816;-127.69233779360265;-19363.140647356217;19363.561683286207;-127.69233779360265;-19363.140647356217;-90.37783777484924
11324.809359;-71.4693637638318;-18943.89708084217;18944.031896074743;-71.4693637638318;-18943.89708084217;-90.21615792479739
11562.082126;-37.335617368191265;-18559.78544683433;18559.82299971763;-37.335617368191265;-18559.78544683433;-90.11525835906446
11804.326134;22.34109303753715;-18185.2408417366;18185.2545650701;22.34109303753715;-18185.2408417366;-89.92961051723678
12051.645539;-10.39670975399256;-17806.013696528837;17806.016731783286;-10.39670975399256;-17806.013696528837;-90.03345428865686
12304.14668;4.422365426982191;-17411.249022181168;17411.24958380991;4.422365426982191;-17411.249022181168;-89.98544717448709
12561.938121;15.87730823478846;-17079.777272372983;17079.784652119753;15.87730823478846;-17079.777272372983;-89.94673803555312
12825.130702;28.527806959514137;-16698.587963386068;16698.612331769127;28.527806959514137;-16698.587963386068;-89.90211619383939
13093.837587;17.35793212714359;-16378.889244114467;16378.898441860376;17.35793212714359;-16378.889244114467;-89.93927940626445
13368.174308;30.85528639918957;-16019.520780415392;16019.550495655594;30.85528639918957;-16019.520780415392;-89.88964242286816
13648.25882;34.21579923231739;-15672.257700018406;15672.295050078126;34.21579923231739;-15672.257700018406;-89.87491159145691
13934.211547;39.76648123170617;-15389.574976151112;15389.626354125889;39.76648123170617;-15389.574976151112;-89.85194870728112
14226.15544;23.75844643667217;-15047.65370594587;15047.672461807624;23.75844643667217;-15047.65370594587;-89.90953688833704
14524.216021;36.678940458618214;-14703.273468584364;14703.319218348286;36.678940458618214;-14703.273468584364;-89.85706964299972
14828.521445;59.008360291395896;-14407.37632155052;14407.497161455869;59.008360291395896;-14407.37632155052;-89.76533471323216
15139.202552;40.34896925036795;-14080.114757380456;14080.172570686853;40.34896925036795;-14080.114757380456;-89.8358096253243
15456.392922;41.78168708609354;-13800.641488320382;13800.704735575122;41.78168708609354;-13800.641488320382;-89.82653654042545
15780.228934;52.59929731609632;-13508.658462884825;13508.760866672708;52.59929731609632;-13508.658462884825;-89.77690586231093
16110.849827;78.47758715437976;-13247.871521596384;13248.103961866018;78.47758715437976;-13247.871521596384;-89.66059589807342
