Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
10000;-80.17313960276977;-21852.49895090356;21852.646021284356;-80.17313960276977;-21852.49895090356;-90.21020762566637
10209.515903;-32.62489286968726;-21371.031373772537;21371.056276244395;-32.62489286968726;-21371.031373772537;-90.08746733761721
10423.421498;-55.2820108278351;-20932.633978593927;20932.70697694176;-55.2820108278351;-20932.633978593927;-90.15131485807511
10641.808756;-92.92987410297799;-20501.107370061454;20501.317990809486;-92.92987410297799;-20501.107370061454;-90.25971539063971
10864.771573;-13.455543497248664;-20063.09556437777;20063.100076433995;-13.455543497248664;-20063.09556437777;-90.03842606119211
11092.405816;-38.455678374869414;-19633.62384300365;19633.66150384998;-38.455678374869414;-19633.62384300365;-90.11222305516299
11324.809359;55.74924477071699;-19237.179374154992;19237.26015449463;55.74924477071699;-19237.179374154992;-89.83395759678147
11562.082126;51.99621667816509;-18825.455529276784;18825.527336341118;51.99621667816509;-18825.455529276784;-89.84174852045633
11804.326134;71.17879716928582;-18433.069429283525;18433.20685626767;71.17879716928582;-18433.069429283525;-89.778755002565
12051.645539;79.00459922520756;-18031.35039324371;18031.523472259043;79.00459922520756;-18031.35039324371;-89.74895939391992
12304.14668;75.34567271410097;-17632.091919631657;17632.25290292584;75.34567271410097;-17632.091919631657;-89.75516445839276
12561.938121;104.8607215512818;-17276.96855375279;17277.286771315892;104.8607215512818;-17276.96855375279;-89.65225363522133
12825.130702;76.7972196757185;-16887.550250938544;16887.72487018084;76.7972196757185;-16887.550250938544;-89.73944555791068
13093.837587;90.82362084751767;-16554.004653465126;16554.253803691936;90.82362084751767;-16554.004653465126;-89.68564960262063
13368.174308;109.31494896695935;-16170.959399968562;16171.3288777855;109.31494896695935;-16170.959399968562;-89.6126890398533
13648.25882;130.2142435481604;-15820.938141411454;15821.473996552615;130.2142435481604;-15820.938141411454;-89.52843769048889
13934.211547;139.22772488721853;-15499.904607727169;15500.529900878204;139.22772488721853;-15499.904607727169;-89.4853551235655
14226.15544;99.42568084513886;-15155.572721230585;15155.89885076171;99.42568084513886;-15155.572721230585;-89.62412570808038
14524.216021;113.61354209500563;-14828.209122016739;14828.644368357067;113.61354209500563;-14828.209122016739;-89.56100908581226
14828.521445;122.10923142548458;-14512.927178330441;14513.440872099272;122.10923142548458;-14512.927178330441;-89.51793470571427
15139.202552;147.91439500572903;-14210.403625532572;14211.173416322776;147.91439500572903;-14210.403625532572;-89.40363660759405
15456.392922;170.11334062944425;-13913.317386689614;13914.35730644501;170.11334062944425;-13913.317386689614;-89.29949913854841
15780.228934;200.15523765062812;-13591.530619190504;13593.004329122828;200.15523765062812;-13591.530619190504;-89.15629653693985
16110.849827;194.80165015414693;-13322.163040133975;13323.587195301963;194.80165015414693;-13322.163040133975;-89.1622593880978
16448.397752;192.75296774831153;-13028.172784288789;13029.598604863424;192.75296774831153;-13028.172784288789;-89.15236572233721
16793.017844;203.71015139939692;-12746.302803602925;12747.930537421316;203.71015139939692;-12746.302803602925;-89.08438246639354
17144.858275;221.0632942131478;-12451.009373563851;12452.971669470031;221.0632942131478;-12451.009373563851;-88.98284044728128
17504.070322;228.32704073515748;-12202.83383703482;12204.9697620196;228.32704073515748;-12202.83383703482;-88.92806461318366
17870.808433;244.7108332332939;-11933.007253658112;11935.516139143663;244.7108332332939;-11933.007253658112;-88.82519697700678
18245.23029;277.1212230619054;-11676.631158376418;11679.91915130573;277.1212230619054;-11676.631158376418;-88.64045577931907
18627.496881;260.3389360233724;-11415.48186004571;11418.45009003597;260.3389360233724;-11415.48186004571;-88.69355168215769
19017.772565;279.54888829218567;-11183.991507556848;11187.484687008473;279.54888829218567;-11183.991507556848;-88.56816441147156
19416.225145;292.3033472012232;-10918.382406524239;10922.294430287211;292.3033472012232;-10918.382406524239;-88.46646251555796
19823.02594;295.6867581953553;-10681.219471232609;10685.3114157525;295.6867581953553;-10681.219471232609;-88.41429364361917
20238.349859;315.256214096328;-10441.668681983823;10446.4267261513;315.256214096328;-10441.668681983823;-88.27064374504815
20662.375475;322.46985161433014;-10207.335477599483;10212.427936463553;322.46985161433014;-10207.335477599483;-88.19051519281703
21095.285101;324.1847500964938;-9983.051316035373;9988.313637986681;324.1847500964938;-9983.051316035373;-88.140058343357
21537.264873;346.7418291958016;-9743.356191955485;9749.524079637496;346.7418291958016;-9743.356191955485;-87.96184574992162
21988.504824;357.6757583300927;-9528.945817817383;9535.656261998773;357.6757583300927;-9528.945817817383;-87.85037134624982
22449.198969;361.3922685573429;-9304.071868521241;9311.087890594812;361.3922685573429;-9304.071868521241;-87.77561393946394
22919.54539;353.03262660592463;-9092.184366542928;9099.035585745112;353.03262660592463;-9092.184366542928;-87.77642831943821
23399.746316;363.28694996499655;-8880.891683822529;8888.318992239365;363.28694996499655;-8880.891683822529;-87.6575313353511
23890.008215;376.20772659428405;-8687.160728298042;8695.302971882753;376.20772659428405;-8687.160728298042;-87.5202881851013
24390.541881;394.96704907856815;-8474.716752736134;8483.915547019804;394.96704907856815;-8474.716752736134;-87.33164158478172
24901.562522;402.47594851055754;-8277.361177938508;8287.140336640441;402.47594851055754;-8277.361177938508;-87.21625950623728
25423.289859;413.87142665655375;-8083.330729735563;8093.919028757949;413.87142665655375;-8083.330729735563;-87.06898084074854
25955.948214;431.3514300756401;-7895.89327896814;7907.666832200415;431.3514300756401;-7895.89327896814;-86.87304865651136
26499.766608;437.94474696680305;-7706.344772169922;7718.778747246646;437.94474696680305;-7706.344772169922;-86.74743003747324
27054.978862;456.27860738019353;-7516.424259741301;7530.260541308008;456.27860738019353;-7516.424259741301;-86.5261677274773
27621.823696;461.591561844467;-7332.7429901566975;7347.2570752395895;461.591561844467;-7332.7429901566975;-86.39801944294307
28200.544831;485.5206582978379;-7157.369341011136;7173.81810427893;485.5206582978379;-7157.369341011136;-86.11928193503276
28791.391094;493.27851330231834;-6976.201469504275;6993.619280086625;493.27851330231834;-6976.201469504275;-85.9554184621488
29394.616526;505.0344771390742;-6804.601063713931;6823.317042274666;505.0344771390742;-6804.601063713931;-85.7553152142929
30010.48049;569.6255847689079;-6572.750131030916;6597.387179163449;569.6255847689079;-6572.750131030916;-85.0468529233352
30639.247783;608.2586380351013;-6424.437123819091;6453.167511280738;608.2586380351013;-6424.437123819091;-84.59142119032037
31281.188751;618.3343447163388;-6234.007114301382;6264.597518038651;618.3343447163388;-6234.007114301382;-84.33551371118219
31936.579403;636.1606133896768;-6087.37704518208;6120.52772367204;636.1606133896768;-6087.37704518208;-84.03396737440404
32605.701532;644.8749490289131;-5910.229875347856;5945.307467182784;644.8749490289131;-5910.229875347856;-83.77299639984244
33288.842834;675.7492175740873;-5745.33619243111;5784.939495717375;675.7492175740873;-5745.33619243111;-83.29186182548219
33986.297032;687.5618504910926;-5603.140677473872;5645.1684429973475;687.5618504910926;-5603.140677473872;-83.00420400084737
34698.364005;687.9022856737105;-5466.8648871894575;5509.974704970987;687.9022856737105;-5466.8648871894575;-82.82809568320225
35425.349913;718.7567861301276;-5297.413007074053;5345.951354541628;718.7567861301276;-5297.413007074053;-82.27325166860781
36167.567333;750.8555678728956;-5145.9740444966155;5200.464686010143;750.8555678728956;-5145.9740444966155;-81.69848306712828
36925.335387;779.3646480058804;-5013.064185788559;5073.28510783666;779.3646480058804;-5013.064185788559;-81.16315513490179
37698.979888;801.1680995547792;-4868.703901688691;4934.181594354113;801.1680995547792;-4868.703901688691;-80.65545440431234
38488.833471;821.7241619701475;-4723.66322875224;4794.603726798658;821.7241619701475;-4723.66322875224;-80.13163219773007
39295.235743;859.2868956706651;-4616.271230952745;4695.565359655139;859.2868956706651;-4616.271230952745;-79.45546910326662
40118.533425;892.5979048504859;-4453.467995906398;4542.037891773474;892.5979048504859;-4453.467995906398;-78.66651205010895
40959.080503;923.7535188946518;-4327.583978464005;4425.07668344048;923.7535188946518;-4327.583978464005;-77.95064249609226
41817.238378;973.4369588021217;-4190.864461773586;4302.432387582487;973.4369588021217;-4190.864461773586;-76.92344744030228
